STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
16,083,000200,1,1500000US160830002001,160830002001,1,BG,2899087,0
16,003,950200,2,1500000US160039502002,160039502002,2,BG,892284477,2059882
16,001,010225,2,1500000US160010102252,160010102252,2,BG,2230559,36483
16,065,950302,4,1500000US160659503024,160659503024,4,BG,435060,0
16,083,001100,2,1500000US160830011002,160830011002,2,BG,544800,0
16,037,960200,4,1500000US160379602004,160379602004,4,BG,2960765800,7834604
16,087,970100,2,1500000US160879701002,160879701002,2,BG,1432709324,16409484
16,005,001601,2,1500000US160050016012,160050016012,2,BG,761266,6808
16,055,000500,3,1500000US160550005003,160550005003,3,BG,1659704,0
16,083,000600,3,1500000US160830006003,160830006003,3,BG,20045077,86752
16,001,002313,2,1500000US160010023132,160010023132,2,BG,1345283,1378
16,069,960700,5,1500000US160699607005,160699607005,5,BG,493819,0
16,055,001900,1,1500000US160550019001,160550019001,1,BG,1152229264,21394542
16,001,000900,2,1500000US160010009002,160010009002,2,BG,331702,0
16,079,960200,7,1500000US160799602007,160799602007,7,BG,1812375020,3699985
16,057,005600,1,1500000US160570056001,160570056001,1,BG,545165320,461747
16,027,020402,3,1500000US160270204023,160270204023,3,BG,375730,0
16,065,950302,2,1500000US160659503022,160659503022,2,BG,3904453,0
16,083,000200,2,1500000US160830002002,160830002002,2,BG,1308110,0
16,083,000400,3,1500000US160830004003,160830004003,3,BG,408810,0
16,001,001500,2,1500000US160010015002,160010015002,2,BG,650214,4256
16,017,950600,3,1500000US160179506003,160179506003,3,BG,451460114,292934
16,001,001400,2,1500000US160010014002,160010014002,2,BG,657642,1124
16,039,960400,2,1500000US160399604002,160399604002,2,BG,785165850,11407842
16,011,950400,3,1500000US160119504003,160119504003,3,BG,336736,0
16,053,970400,3,1500000US160539704003,160539704003,3,BG,1565890,0
16,001,000500,4,1500000US160010005004,160010005004,4,BG,638036,361
16,013,960200,4,1500000US160139602004,160139602004,4,BG,699378,0
16,027,020602,4,1500000US160270206024,160270206024,4,BG,754017,16561
16,001,002411,1,1500000US160010024111,160010024111,1,BG,783669,7005
16,001,001700,2,1500000US160010017002,160010017002,2,BG,455468,0
16,045,960100,1,1500000US160459601001,160459601001,1,BG,1172118661,7098177
16,055,001100,1,1500000US160550011001,160550011001,1,BG,5011709,0
16,027,020401,4,1500000US160270204014,160270204014,4,BG,5306653,53872
16,011,950300,4,1500000US160119503004,160119503004,4,BG,1286164,0
16,073,950200,4,1500000US160739502004,160739502004,4,BG,6400068751,30880832
16,083,000700,4,1500000US160830007004,160830007004,4,BG,815324,0
16,001,000600,5,1500000US160010006005,160010006005,5,BG,307950,0
16,049,960100,2,1500000US160499601002,160499601002,2,BG,8444228868,15994589
16,001,002221,1,1500000US160010022211,160010022211,1,BG,2647039,2030
16,055,000500,1,1500000US160550005001,160550005001,1,BG,10370533,0
16,017,950400,6,1500000US160179504006,160179504006,6,BG,783273,1187899
16,051,960300,3,1500000US160519603003,160519603003,3,BG,34636216,164291
16,013,960100,3,1500000US160139601003,160139601003,3,BG,484866115,2479743
16,001,010322,1,1500000US160010103221,160010103221,1,BG,1309475,0
16,055,000900,1,1500000US160550009001,160550009001,1,BG,1495461,0
16,001,010401,4,1500000US160010104014,160010104014,4,BG,2493901,32324
16,001,002410,4,1500000US160010024104,160010024104,4,BG,1248344,2456
16,001,002222,1,1500000US160010022221,160010022221,1,BG,5246358,5447
16,083,000800,5,1500000US160830008005,160830008005,5,BG,462023,0
16,019,970601,1,1500000US160199706011,160199706011,1,BG,988633,28559
16,013,960100,2,1500000US160139601002,160139601002,2,BG,611584345,11013255
16,005,000300,4,1500000US160050003004,160050003004,4,BG,1295590,0
16,055,001500,2,1500000US160550015002,160550015002,2,BG,388300,0
16,005,001300,3,1500000US160050013003,160050013003,3,BG,395860,0
16,041,970200,2,1500000US160419702002,160419702002,2,BG,1175862,0
16,019,971100,3,1500000US160199711003,160199711003,3,BG,236295,0
16,059,970300,2,1500000US160599703002,160599703002,2,BG,338214016,1140007
16,015,950200,3,1500000US160159502003,160159502003,3,BG,905609349,360097
16,083,001200,4,1500000US160830012004,160830012004,4,BG,2744892,31857
16,079,960200,6,1500000US160799602006,160799602006,6,BG,4222496151,8681125
16,083,000400,1,1500000US160830004001,160830004001,1,BG,5752771,1149
16,085,970200,1,1500000US160859702001,160859702001,1,BG,663479414,12527037
16,083,000200,3,1500000US160830002003,160830002003,3,BG,976624,0
16,087,970100,1,1500000US160879701001,160879701001,1,BG,989377240,10852012
16,087,970300,4,1500000US160879703004,160879703004,4,BG,750856,115061
16,083,000400,2,1500000US160830004002,160830004002,2,BG,3407923,0
16,083,000400,4,1500000US160830004004,160830004004,4,BG,1104948,0
16,083,000700,3,1500000US160830007003,160830007003,3,BG,994558,2838
16,083,001200,2,1500000US160830012002,160830012002,2,BG,1609583,13561
16,035,970100,2,1500000US160359701002,160359701002,2,BG,1098618564,15900447
16,055,000700,1,1500000US160550007001,160550007001,1,BG,29087734,0
16,055,001800,1,1500000US160550018001,160550018001,1,BG,2141079,131577
16,055,001300,1,1500000US160550013001,160550013001,1,BG,1240144,0
16,055,001500,3,1500000US160550015003,160550015003,3,BG,587592,0
16,059,970300,3,1500000US160599703003,160599703003,3,BG,1604317951,3372464
16,055,001900,2,1500000US160550019002,160550019002,2,BG,163441796,66008796
16,071,960100,3,1500000US160719601003,160719601003,3,BG,2101452,0
16,075,960100,3,1500000US160759601003,160759601003,3,BG,15660247,402577
16,075,960100,5,1500000US160759601005,160759601005,5,BG,6836361,1439
16,039,960100,1,1500000US160399601001,160399601001,1,BG,3376444631,32864376
16,039,960200,1,1500000US160399602001,160399602001,1,BG,1280769250,7209847
16,039,960200,3,1500000US160399602003,160399602003,3,BG,1393412,0
16,039,960300,2,1500000US160399603002,160399603002,2,BG,1032468,0
16,067,970200,4,1500000US160679702004,160679702004,4,BG,22810858,1110637
16,067,970400,2,1500000US160679704002,160679704002,2,BG,2492302,289
16,067,970500,2,1500000US160679705002,160679705002,2,BG,5436821,19770
16,067,970500,3,1500000US160679705003,160679705003,3,BG,410296,0
16,043,970100,1,1500000US160439701001,160439701001,1,BG,3639971466,69624807
16,051,960300,4,1500000US160519603004,160519603004,4,BG,7754888,18083
16,031,950400,4,1500000US160319504004,160319504004,4,BG,3076909,333673
16,031,950400,3,1500000US160319504003,160319504003,3,BG,941358,0
16,037,960200,1,1500000US160379602001,160379602001,1,BG,4808495073,27559308
16,041,970100,1,1500000US160419701001,160419701001,1,BG,713905132,4031521
16,053,970200,1,1500000US160539702001,160539702001,1,BG,1080877,0
16,053,970400,1,1500000US160539704001,160539704001,1,BG,447800,0
16,007,950100,2,1500000US160079501002,160079501002,2,BG,718037,0
16,019,971302,4,1500000US160199713024,160199713024,4,BG,2516276,0
16,019,970602,3,1500000US160199706023,160199706023,3,BG,379237,0
