geoid,name,B25077001,B25077001e
15000US160010001001,"Block Group 1, Ada, ID",275000.000000000000000,154677.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",289300.000000000000000,571644.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",171900.000000000000000,142084.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",487500.000000000000000,130533.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",379800.000000000000000,139370.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",384100.000000000000000,120847.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",304100.000000000000000,38983.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",244900.000000000000000,108934.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",534200.000000000000000,72485.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",335100.000000000000000,36885.000000000000000
15000US160010003021,"Block Group 1, Ada, ID",159800.000000000000000,19077.000000000000000
15000US160010003022,"Block Group 2, Ada, ID",193500.000000000000000,33145.000000000000000
15000US160010003031,"Block Group 1, Ada, ID",234300.000000000000000,28533.000000000000000
15000US160010003041,"Block Group 1, Ada, ID",158700.000000000000000,6339.000000000000000
15000US160010003042,"Block Group 2, Ada, ID",170000.000000000000000,13806.000000000000000
15000US160010003043,"Block Group 3, Ada, ID",186000.000000000000000,18467.000000000000000
15000US160010004001,"Block Group 1, Ada, ID",128400.000000000000000,13395.000000000000000
15000US160010004002,"Block Group 2, Ada, ID",162600.000000000000000,14221.000000000000000
15000US160010004003,"Block Group 3, Ada, ID",189300.000000000000000,15411.000000000000000
15000US160010004004,"Block Group 4, Ada, ID",188400.000000000000000,30418.000000000000000
15000US160010004005,"Block Group 5, Ada, ID",122600.000000000000000,32874.000000000000000
15000US160010005001,"Block Group 1, Ada, ID",182300.000000000000000,14635.000000000000000
15000US160010005002,"Block Group 2, Ada, ID",180600.000000000000000,42271.000000000000000
15000US160010005003,"Block Group 3, Ada, ID",287500.000000000000000,85595.000000000000000
15000US160010005004,"Block Group 4, Ada, ID",257700.000000000000000,29612.000000000000000
15000US160010005005,"Block Group 5, Ada, ID",163400.000000000000000,31066.000000000000000
15000US160010006001,"Block Group 1, Ada, ID",188800.000000000000000,16982.000000000000000
15000US160010006002,"Block Group 2, Ada, ID",259500.000000000000000,99288.000000000000000
15000US160010006003,"Block Group 3, Ada, ID",520600.000000000000000,262408.000000000000000
15000US160010006004,"Block Group 4, Ada, ID",192400.000000000000000,56190.000000000000000
15000US160010006005,"Block Group 5, Ada, ID",288400.000000000000000,36137.000000000000000
15000US160010006006,"Block Group 6, Ada, ID",275400.000000000000000,50352.000000000000000
15000US160010007011,"Block Group 1, Ada, ID",268600.000000000000000,26458.000000000000000
15000US160010007012,"Block Group 2, Ada, ID",302800.000000000000000,176701.000000000000000
15000US160010007013,"Block Group 3, Ada, ID",253000.000000000000000,44712.000000000000000
15000US160010007021,"Block Group 1, Ada, ID",333100.000000000000000,30633.000000000000000
15000US160010008021,"Block Group 1, Ada, ID",139600.000000000000000,24549.000000000000000
15000US160010008022,"Block Group 2, Ada, ID",161500.000000000000000,24640.000000000000000
15000US160010008023,"Block Group 3, Ada, ID",169000.000000000000000,30012.000000000000000
15000US160010008024,"Block Group 4, Ada, ID",260400.000000000000000,16529.000000000000000
15000US160010008031,"Block Group 1, Ada, ID",168500.000000000000000,13908.000000000000000
15000US160010008032,"Block Group 2, Ada, ID",159700.000000000000000,11119.000000000000000
15000US160010008033,"Block Group 3, Ada, ID",181900.000000000000000,12106.000000000000000
15000US160010008034,"Block Group 4, Ada, ID",174000.000000000000000,18765.000000000000000
15000US160010008041,"Block Group 1, Ada, ID",196600.000000000000000,34790.000000000000000
